#alpha  phi1       phi2       phi3
0 	1.00000000 1.00000000 1.00000000	
0.025 	0.99916667 0.99975000 0.99806370	
0.05 	0.99833333 0.99950000 0.99261656	
0.075 	0.99750000 0.99925000 0.98406203	
0.1	0.99666667 0.99900000 0.97280360	
0.15	0.99500000 0.99850000 0.94378889	
0.2 	0.99333333 0.99800000 0.90880018	
0.25 	0.99166667 0.99750000 0.87106525	
0.3 	0.99000000 0.99700000 0.83381185	
0.35 	0.98833333 0.99650000 0.79968720	
0.4 	0.98666667 0.99600000 0.76901633	
0.45 	0.98500000 0.99550000 0.74154373	
0.5 	0.98333333 0.99500000 0.71701389	
0.55 	0.98166667 0.99450000 0.69517129	
0.6 	0.98000000 0.99400000 0.67576042	
0.65 	0.97833333 0.99350000 0.65852577	
0.7 	0.97666667 0.99300000 0.64321182	
0.75 	0.97500000 0.99250000 0.62956307	
0.8 	0.97333333 0.99200000 0.61732399	
0.85 	0.97166667 0.99150000 0.60623909	
0.9 	0.97000000 0.99100000 0.59605283	
0.95 	0.96833333 0.99050000 0.58650972	
1 	0.96666667 0.99000000 0.57735424	
1.25	0.95833333 0.98750000 0.53374972	
1.5	0.95000000 0.98500000 0.49331752	
1.75	0.94166667 0.98250000 0.45592704	
2 	0.93333333 0.98000000 0.42144772	
2.5 	0.91666667 0.97500000 0.36065328	
3 	0.90000000 0.97000000 0.30965499	
3.5 	0.88333333 0.96500000 0.26712671	
4	0.86666667 0.96000000 0.23174230	
4.5 	0.85000000 0.95500000 0.20228652	
5 	0.83333333 0.95000000 0.17798763	
5.5 	0.81666667 0.94500000 0.15818479	
6	0.80000000 0.94000000 0.14221716	
6.5	0.78333333 0.93500000 0.12942389	
7	0.76666667 0.93000000 0.11914414	
7.5	0.75000000 0.92500000 0.11071705	
8	0.73356510 0.91993295 0.10348178	
9	0.70205874 0.90940957 0.09076411	
10	0.67230993 0.89839618 0.07980824	
11	0.64424623 0.88692759 0.07025206	
12	0.61779520 0.87503862 0.06173347	
13	0.59288439 0.86276408 0.05394627	
14	0.56944137 0.85013879 0.04680785	
15	0.54739370 0.83719757 0.04029153	
16	0.52666893 0.82397523 0.03437061	
17	0.50719463 0.81050658 0.02901839	
18	0.48889834 0.79682645 0.02420818	
19	0.47170764 0.78296964 0.01991328	
20	0.45555008 0.76897098 0.01610701	
21	0.44035322 0.75486528 0.01276361	
22	0.42604461 0.74068735 0.00986117	
23	0.41255183 0.72647201 0.00737872	
24	0.39980241 0.71225408 0.00529530	
25	0.38772394 0.69806837 0.00358992	
26	0.37624396 0.68394970 0.00224164	
27	0.36529003 0.66993288 0.00122947	
28	0.35478972 0.65605272 0.00053245	
29	0.34467057 0.64234406 0.00012962	
30	0.33486016 0.62884169 0.00000000	
33	0.30686620 0.58974571 0.00000000	
36	0.28089877 0.55271081 0.00000000	
39	0.25685779 0.51762803 0.00000000	
42	0.23464320 0.48438840 0.00000000	
45	0.21415492 0.45288296 0.00000000	
48	0.19529288 0.42300275 0.00000000	
51	0.17795700 0.39463881 0.00000000 
54	0.16204721 0.36768217 0.00000000 
57	0.14746343 0.34202387 0.00000000 
60	0.13410560 0.31755495 0.00000000 
63	0.12187880 0.29417930 0.00000000 
66	0.11070881 0.27185223 0.00000000 
69	0.10052653 0.25054189 0.00000000 
72	0.09126291 0.23021646 0.00000000 
75	0.08284886 0.21084408 0.00000000 
78	0.07521532 0.19239292 0.00000000 
81	0.06829321 0.17483114 0.00000000 
84	0.06201346 0.15812689 0.00000000 
87	0.05630700 0.14224835 0.00000000 
90	0.05110476 0.12716367 0.00000000 
93	0.04634750 0.11285041 0.00000000 
96	0.04201539 0.09932372 0.00000000 
99	0.03809846 0.08660818 0.00000000 
102	0.03458670 0.07472832 0.00000000 
105	0.03147014 0.06370871 0.00000000 
108	0.02873879 0.05357391 0.00000000 
111	0.02638265 0.04434847 0.00000000 
114	0.02439175 0.03605695 0.00000000 
117	0.02275609 0.02872391 0.00000000 
120	0.02146569 0.02237390 0.00000000 
123	0.02048884 0.01701331 0.00000000 
126	0.01970700 0.01257580 0.00000000 
129	0.01897989 0.00897685 0.00000000 
132	0.01816723 0.00613196 0.00000000 
135	0.01712876 0.00395661 0.00000000 
138	0.01572421 0.00236629 0.00000000 
141	0.01381329 0.00127648 0.00000000 
144	0.01125575 0.00060269 0.00000000 
147	0.00791131 0.00026038 0.00000000 
150	0.00363970 0.00016506 0.00000000 
